model,dataset,pred_len,task,status,duration_seconds,duration_formatted,start_time,end_time,error
TransLSTM_AR_wo4,2330TW,1,long_term_forecast,success,1284.92,21m 24s,2025-12-30 23:38:27,2025-12-30 23:59:52,
TransLSTM_AR_wo4,2330TW,5,long_term_forecast,success,1603.96,26m 43s,2025-12-30 23:59:52,2025-12-31 00:26:36,
TransLSTM_AR_wo4,AAPL,1,long_term_forecast,success,828.92,13m 48s,2025-12-31 00:26:36,2025-12-31 00:40:25,
TransLSTM_AR_wo4,AAPL,5,long_term_forecast,success,1829.76,30m 29s,2025-12-31 00:40:25,2025-12-31 01:10:55,
TransLSTM_AR_wo4,SPX,1,long_term_forecast,success,922.45,15m 22s,2025-12-31 01:10:55,2025-12-31 01:26:17,
TransLSTM_AR_wo4,SPX,5,long_term_forecast,success,1829.83,30m 29s,2025-12-31 01:26:17,2025-12-31 01:56:47,
TransLSTM_AR_wo4,SOX,1,long_term_forecast,success,829.55,13m 49s,2025-12-31 01:56:47,2025-12-31 02:10:37,
TransLSTM_AR_wo4,SOX,5,long_term_forecast,success,1925.51,32m 5s,2025-12-31 02:10:37,2025-12-31 02:42:42,
TransLSTM_AR_wo4,NDX,1,long_term_forecast,success,919.88,15m 19s,2025-12-31 02:42:42,2025-12-31 02:58:02,
TransLSTM_AR_wo4,NDX,5,long_term_forecast,success,1922.25,32m 2s,2025-12-31 02:58:02,2025-12-31 03:30:04,
TransLSTM_AR,2330TW,1,long_term_forecast,success,740.65,12m 20s,2025-12-31 03:30:04,2025-12-31 03:42:25,
TransLSTM_AR,2330TW,5,long_term_forecast,success,919.65,15m 19s,2025-12-31 03:42:25,2025-12-31 03:57:45,
TransLSTM_AR,AAPL,1,long_term_forecast,success,1006.23,16m 46s,2025-12-31 03:57:45,2025-12-31 04:14:31,
TransLSTM_AR,AAPL,5,long_term_forecast,success,742.22,12m 22s,2025-12-31 04:14:31,2025-12-31 04:26:53,
TransLSTM_AR,SPX,1,long_term_forecast,success,740.32,12m 20s,2025-12-31 04:26:53,2025-12-31 04:39:14,
TransLSTM_AR,SPX,5,long_term_forecast,success,925.79,15m 25s,2025-12-31 04:39:14,2025-12-31 04:54:39,
TransLSTM_AR,SOX,1,long_term_forecast,success,738.82,12m 18s,2025-12-31 04:54:39,2025-12-31 05:06:58,
TransLSTM_AR,SOX,5,long_term_forecast,success,831.76,13m 51s,2025-12-31 05:06:58,2025-12-31 05:20:50,
TransLSTM_AR,NDX,1,long_term_forecast,success,827.1,13m 47s,2025-12-31 05:20:50,2025-12-31 05:34:37,
TransLSTM_AR,NDX,5,long_term_forecast,success,744.55,12m 24s,2025-12-31 05:34:37,2025-12-31 05:47:02,
TransLSTM_AR_wo3,2330TW,1,long_term_forecast,success,834.68,13m 54s,2025-12-31 05:47:02,2025-12-31 06:00:56,
TransLSTM_AR_wo3,2330TW,5,long_term_forecast,success,1564.0,26m 3s,2025-12-31 06:00:56,2025-12-31 06:27:00,
TransLSTM_AR_wo3,AAPL,1,long_term_forecast,success,832.37,13m 52s,2025-12-31 06:27:00,2025-12-31 06:40:53,
TransLSTM_AR_wo3,AAPL,5,long_term_forecast,success,1933.84,32m 13s,2025-12-31 06:40:53,2025-12-31 07:13:07,
TransLSTM_AR_wo3,SPX,1,long_term_forecast,success,1552.16,25m 52s,2025-12-31 07:13:07,2025-12-31 07:38:59,
TransLSTM_AR_wo3,SPX,5,long_term_forecast,success,1846.01,30m 46s,2025-12-31 07:38:59,2025-12-31 08:09:45,
